Barcode	GENES.Table.Intersections	GENES.Table.Degree	GENES.Table.Observed.Overlap	GENES.Table.Expected.Overlap	GENES.Table.FE	GENES.Table.P.value	GENES.Table.Elements
11	SoC_Inter & SoC.PtC_mean	2	1	3.5944193680755	0.278209050641582	0.973495247392789	tig00005188_pilon.494500
11	SoC_Inter & SoN.GeN_mean	2	9	3.5944193680755	2.50388145577424	0.0107497483559979	tig00000009_pilon.4582500, tig00000108_pilon.1119500, tig00000108_pilon.1475500, tig00005097_pilon.699500, tig00005104_pilon.356500, tig00005265_pilon.684500, tig00005318_pilon.156500, tig00005318_pilon.199500, tig00158839_pilon.253500
11	SoC_Inter & ZuC_Inter	2	36	3.58459855012994	10.0429656198726	3.92713686540229e-25	tig00000030_pilon.415500, tig00000108_pilon.1475500, tig00000108_pilon.1565500, tig00000119_pilon.1645500, tig00000147_pilon.1269500, tig00000147_pilon.15500, tig00000147_pilon.667500, tig00000271_pilon.527500, tig00000503_pilon.265500, tig00000540_pilon.195500, tig00000819_pilon.157500, tig00000819_pilon.170500, tig00000819_pilon.74500, tig00005095_pilon.20500, tig00005104_pilon.565500, tig00005106_pilon.504500, tig00005106_pilon.920500, tig00005160_pilon.2078500, tig00005188_pilon.411500, tig00005188_pilon.493500, tig00005223_pilon.424500, tig00005661_pilon.182500, tig00005661_pilon.2810500, tig00158824_pilon.1103500, tig00158824_pilon.46500, tig00158824_pilon.7645500, tig00158824_pilon.8150500, tig00158824_pilon.983500, tig00158826_pilon.1137500, tig00158826_pilon.1188500, tig00158826_pilon.1862500, tig00158826_pilon.772500, tig00158826_pilon.989500, tig00158839_pilon.253500, tig00159024_pilon.120500, tig00159024_pilon.242500
11	SoC_Inter & ZuN_Inter	2	37	3.58459855012994	10.3219368870912	3.13584895877453e-26	tig00000108_pilon.144500, tig00000108_pilon.1565500, tig00000108_pilon.260500, tig00000147_pilon.15500, tig00000147_pilon.436500, tig00000147_pilon.667500, tig00000271_pilon.527500, tig00000271_pilon.671500, tig00000422_pilon.234500, tig00000503_pilon.265500, tig00000678_pilon.177500, tig00000819_pilon.157500, tig00000819_pilon.74500, tig00005097_pilon.719500, tig00005106_pilon.74500, tig00005106_pilon.920500, tig00005142_pilon.635500, tig00005188_pilon.411500, tig00005188_pilon.493500, tig00005188_pilon.494500, tig00005202_pilon.335500, tig00005223_pilon.424500, tig00005277_pilon.71500, tig00005318_pilon.50500, tig00005318_pilon.87500, tig00005660_pilon.142500, tig00005661_pilon.143500, tig00005661_pilon.433500, tig00158824_pilon.444500, tig00158824_pilon.46500, tig00158824_pilon.8150500, tig00158826_pilon.1188500, tig00158826_pilon.261500, tig00158826_pilon.772500, tig00158831_pilon.201500, tig00158850_pilon.132500, tig00159024_pilon.120500
11	SoN_Inter & SoC.PtC_mean	2	19	3.66450553959787	5.18487413777658	7.15084617448893e-09	tig00000108_pilon.1572500, tig00000108_pilon.613500, tig00000119_pilon.444500, tig00000147_pilon.1428500, tig00000156_pilon.158500, tig00000412_pilon.84500, tig00000540_pilon.110500, tig00005104_pilon.370500, tig00005106_pilon.915500, tig00005109_pilon.1704500, tig00005125_pilon.291500, tig00005188_pilon.494500, tig00005660_pilon.447500, tig00005661_pilon.875500, tig00158824_pilon.6354500, tig00158824_pilon.8305500, tig00158826_pilon.829500, tig00158837_pilon.181500, tig00158839_pilon.440500
11	SoN_Inter & SoN.GeN_mean	2	0	3.66450553959787	0	1	
11	SoN_Inter & ZuC_Inter	2	75	3.65449322938039	20.5226813384235	5.70812404743346e-76	tig00000009_pilon.2928500, tig00000009_pilon.4072500, tig00000108_pilon.1139500, tig00000108_pilon.1170500, tig00000108_pilon.1583500, tig00000108_pilon.433500, tig00000108_pilon.613500, tig00000119_pilon.1645500, tig00000119_pilon.598500, tig00000147_pilon.976500, tig00000156_pilon.263500, tig00000182_pilon.134500, tig00000182_pilon.4500, tig00000182_pilon.762500, tig00000422_pilon.43500, tig00000540_pilon.16500, tig00000678_pilon.207500, tig00000819_pilon.157500, tig00000819_pilon.163500, tig00000819_pilon.5500, tig00000819_pilon.61500, tig00000819_pilon.62500, tig00000819_pilon.68500, tig00000819_pilon.69500, tig00000819_pilon.88500, tig00005095_pilon.20500, tig00005095_pilon.417500, tig00005095_pilon.734500, tig00005106_pilon.13500, tig00005106_pilon.504500, tig00005106_pilon.915500, tig00005109_pilon.1704500, tig00005144_pilon.631500, tig00005144_pilon.698500, tig00005188_pilon.221500, tig00005188_pilon.348500, tig00005188_pilon.399500, tig00005188_pilon.449500, tig00005188_pilon.493500, tig00005188_pilon.597500, tig00005191_pilon.155500, tig00005191_pilon.373500, tig00005191_pilon.86500, tig00005223_pilon.283500, tig00005267_pilon.82500, tig00005277_pilon.59500, tig00005318_pilon.20500, tig00005318_pilon.310500, tig00005660_pilon.447500, tig00005661_pilon.2131500, tig00005661_pilon.2445500, tig00005661_pilon.442500, tig00005661_pilon.818500, tig00158824_pilon.1272500, tig00158824_pilon.151500, tig00158824_pilon.4046500, tig00158824_pilon.6354500, tig00158824_pilon.7402500, tig00158824_pilon.7992500, tig00158824_pilon.85500, tig00158824_pilon.8626500, tig00158824_pilon.9276500, tig00158824_pilon.983500, tig00158826_pilon.1137500, tig00158826_pilon.1188500, tig00158837_pilon.135500, tig00158837_pilon.179500, tig00158837_pilon.249500, tig00158839_pilon.206500, tig00158839_pilon.346500, tig00158839_pilon.521500, tig00159024_pilon.217500, tig00159024_pilon.233500, tig00159024_pilon.238500, tig00159024_pilon.249500
11	SoN_Inter & ZuN_Inter	2	60	3.65449322938039	16.4181450707388	2.06165386678572e-54	tig00000009_pilon.4072500, tig00000108_pilon.1583500, tig00000119_pilon.598500, tig00000147_pilon.436500, tig00000147_pilon.976500, tig00000182_pilon.4500, tig00000182_pilon.953500, tig00000256_pilon.251500, tig00000422_pilon.234500, tig00000540_pilon.110500, tig00000540_pilon.135500, tig00000678_pilon.207500, tig00000819_pilon.157500, tig00000819_pilon.2500, tig00000819_pilon.3500, tig00000819_pilon.61500, tig00000819_pilon.62500, tig00000819_pilon.68500, tig00000819_pilon.88500, tig00005097_pilon.97500, tig00005104_pilon.382500, tig00005106_pilon.13500, tig00005106_pilon.922500, tig00005106_pilon.943500, tig00005144_pilon.631500, tig00005144_pilon.698500, tig00005188_pilon.221500, tig00005188_pilon.224500, tig00005188_pilon.348500, tig00005188_pilon.449500, tig00005188_pilon.493500, tig00005188_pilon.494500, tig00005188_pilon.597500, tig00005191_pilon.155500, tig00005191_pilon.373500, tig00005202_pilon.800500, tig00005223_pilon.567500, tig00005267_pilon.82500, tig00005318_pilon.132500, tig00005318_pilon.20500, tig00005661_pilon.3289500, tig00005661_pilon.442500, tig00005661_pilon.818500, tig00158824_pilon.1272500, tig00158824_pilon.1690500, tig00158824_pilon.2736500, tig00158824_pilon.3157500, tig00158824_pilon.4046500, tig00158824_pilon.6354500, tig00158824_pilon.8305500, tig00158824_pilon.85500, tig00158824_pilon.9276500, tig00158826_pilon.1188500, tig00158826_pilon.1843500, tig00158837_pilon.179500, tig00158837_pilon.225500, tig00158839_pilon.154500, tig00158839_pilon.206500, tig00159024_pilon.238500, tig00159024_pilon.249500
11	ZuC_Inter & ZuC.PtC_mean	2	0	3.64450827520175	0	1	
11	ZuC_Inter & ZuN.GeN_mean	2	11	3.65449322938039	3.00999326296878	0.0012453602544359	tig00000009_pilon.6939500, tig00000108_pilon.1485500, tig00000147_pilon.437500, tig00000540_pilon.195500, tig00005661_pilon.1041500, tig00005661_pilon.2810500, tig00158824_pilon.1797500, tig00158824_pilon.6164500, tig00158826_pilon.1185500, tig00158826_pilon.490500, tig00158831_pilon.884500
